36
4.8586    5.0442    5.7344
4.6615    4.6173    5.5506
5.1776    4.7353    5.6014
5.3114    4.4809    6.2930
5.1776    4.3535    5.4369
5.6937    4.6173    5.5506
5.4966    5.0442    5.7344
5.8716    4.9643    6.2951
5.1776    5.0183    6.2662
5.5526    5.0467    6.7691
4.8026    5.0467    6.7691
4.4836    4.9643    6.2951
5.9682    4.7065    5.9429
6.4784    4.5307    6.3197
6.3006    4.3762    5.8146
4.8026    4.6594    7.1455
5.1776    4.8530    6.9573
5.5526    4.6594    7.1455
4.5709    4.1576    6.9294
5.1776    4.2963    6.9891
5.1776    3.8474    6.7959
5.7843    4.1576    6.9294
5.9384    4.5783    6.6727
6.3912    4.1112    6.5777
4.2865    4.5373    6.1113
4.5726    4.7908    5.9229
4.5532    4.5806    6.6033
4.3737    4.1178    6.3692
5.6176    4.1791    5.8290
6.2133    3.9566    6.0726
5.3748    3.8077    6.2356
4.9459    3.9633    5.8640
4.6890    4.3178    5.8664
5.7883    3.9761    6.5222
4.8885    3.9788    6.4388
6.3458    4.2437    6.1961
