4.7342	5	5.6959
4.5699	4.5699	5.4301
5	4.6888	5.5036
5.1115	4.2809	6.093
5	4.3041	5.2658
5.4301	4.5699	5.4301
5.2658	5	5.6959
5.5783	4.8069	6.2016
5	4.8712	6.1866
5.3125	4.8069	6.6623
4.6875	4.8069	6.6623
4.4217	4.8069	6.2016
5.6588	4.5928	5.816
6.084	4.3301	6.1289
5.9358	4.2574	5.6233
4.6875	4.314	6.9281
5	4.5604	6.7952
5.3125	4.314	6.9281
4.4944	3.8084	6.6156
5	3.9481	6.702
5	3.4959	6.4225
5.5056	3.8084	6.6156
5.634	4.3151	6.4689
6.0113	3.8244	6.2771
4.2574	4.3767	5.9358
4.4958	4.6884	5.8159
4.4797	4.3307	6.4046
4.3301	3.8711	6.084
5.3667	4.04	5.5933
5.8631	3.7517	5.7715
5.1643	3.5586	5.8908
4.8069	3.7984	5.5783
4.5928	4.184	5.6588
5.5089	3.6878	6.1955
4.7591	3.7065	6.1182
5.9735	4.0409	5.9502
