69451
20464 20463 19670
8846 8936 14300
15447 12950 4985
15448 15447 4985
20172 20173 20255
22610 14687 22325
29535 26418 29484
7017 7019 20708
12344 12256 12614
12318 4491 16345
21289 22139 20299
20383 21289 20299
3074 3208 111
4614 24688 111
1581 1469 3208
2637 15003 15053
3074 1581 3208
4197 9177 2411
5005 2637 15053
2804 2805 5005
983 4197 2411
1581 5133 6014
2805 2804 3332
1469 1581 6014
5133 5512 1461
6014 5133 1461
5512 5374 2884
1461 5512 2884
5374 2157 779
2884 5374 779
2157 2843 2458
779 2157 2458
2843 14635 14624
16657 4022 16656
2458 2843 14624
4197 983 15053
1496 4615 1607
15346 15486 15345
15003 4197 15053
15902 1493 1585
15209 15210 15345
11377 15397 11208
15486 15485 15345
3333 2805 3332
14613 3458 14596
4615 3333 3332
2805 2637 5005
4615 4748 1607
4748 4615 3332
14635 16247 16244
15165 15593 1097
14624 14635 16244
16247 14171 14149
16244 16247 14149
14171 16045 16530
14149 14171 16530
16045 14336 16056
16530 16045 16056
14336 4862 16439
16056 14336 16439
4862 5146 5274
16439 4862 5274
5146 5777 5778
5274 5146 5778
15036 15108 15109
22461 29805 29804
16090 14958 16246
15628 15627 15485
6745 6744 6650
15529 15391 14214
16493 16492 16331
21438 21437 21344
22301 22300 22204
22695 23969 23026
17095 17096 17185
14895 15025 14528
1380 14091 14733
15453 13832 15323
12665 12666 15096
14240 14239 14137
19683 15165 1097
15814 16090 16590
5777 16221 13944
21630 21725 21724
5778 5777 13944
16221 15189 3200
13944 16221 3200
15189 15119 14989
3200 15189 14989
15119 3583 14070
14989 15119 14070
21536 21537 21629
209 92 670
20396 20395 14405
4021 1496 4022
22500 22499 22402
1496 1607 4022
3583 15911 14688
2176 1354 15494
14070 3583 14688
34727 34556 34683
14688 15911 15113
20745 34637 19803
34504 34331 34489
63 15114 14123
105 2773 9756
34474 34769 34643
17186 17276 17275
4858 5773 14749
15292 14894 12114
15167 15036 15109
14124 6838 6837
471 14856 16360
5722 11291 20531
21830 21926 21829
15108 9504 5337
14492 14508 16083
20127 20205 20204
5774 15259 1688
13960 16567 1688
16567 16242 1688
14735 15616 15474
12887 14522 22423
3965 14735 1357
21628 21629 21723
21095 12850 12408
30698 30797 30796
12256 12344 10816
14447 14448 14565
21261 21260 32629
20363 20362 18070
16090 16246 16590
15109 15108 5337
19824 19900 19823
9504 15729 15873
14128 14129 14230
6532 2757 14035
13879 13878 13862
14004 16041 14925
15926 16080 16079
14707 14830 14829
14706 14707 14829
12279 13262 13357
15218 15354 15353
368 2800 262
558 2289 441
16400 16563 16562
16399 16400 16562
15924 15925 16078
4738 16946 14923
14101 1657 980
16079 16236 16235
3011 1236 3153
2202 14101 980
5138 2176 15494
15122 14992 3196
14992 3324 3196
1354 15602 233
16562 16563 3209
1922 2046 476
34577 34391 34500
14228 15811 15812
5337 9504 15873
22500 22594 22499
1353 15357 15048
19595 2362 15440
14490 19595 15440
16370 20559 20473
16377 16378 16540
15729 14912 16343
13842 13855 13841
21926 22024 21925
15787 8946 8844
29066 19198 19199
27376 27377 29062
13166 13072 4985
12950 13166 4985
21645 20727 20726
22062 16334 21965
19702 11110 18326
20709 11110 19702
