11 12 27
12 25 27
25 28 27
28 19 27
19 16 27
16 11 27
16 19 20
19 21 20
21 22 20
22 18 20
18 16 20
11 16 17
16 18 17
18 10 17
10 11 17
19 28 35
28 32 35
32 31 35
31 21 35
21 19 35
21 31 34
31 30 34
30 24 34
24 22 34
22 21 34
10 18 23
18 22 23
22 24 23
24 14 23
14 8 23
8 10 23
30 31 29
31 32 29
32 5 29
5 6 29
6 15 29
15 30 29
24 30 36
30 15 36
15 14 36
14 24 36
8 14 13
14 15 13
15 6 13
6 7 13
7 8 13
12 11 9
11 10 9
10 8 9
8 7 9
7 1 9
1 12 9
1 2 26
2 25 26
25 12 26
12 1 26
2 1 3
1 7 3
7 6 3
6 5 3
5 2 3
2 5 33
5 32 33
32 28 33
28 25 33
25 2 33
